ID,Pred
2018_1104_1112,0.26156706282164416
2018_1104_1113,0.57897516077748
2018_1104_1116,0.31718271054485997
2018_1104_1120,0.2957501653640802
2018_1104_1137,0.733097917702941
2018_1104_1138,0.7406699233797563
2018_1104_1139,0.4614765593770952
2018_1104_1153,0.18363885499956822
2018_1104_1155,0.33565133607864345
2018_1104_1158,0.8795697907705001
2018_1104_1166,0.3829123320438657
2018_1104_1168,0.9167715152197978
2018_1104_1172,0.723442646007012
2018_1104_1181,0.2457642402990061
2018_1104_1196,0.4217190562023751
2018_1104_1199,0.48209659213662687
2018_1104_1209,0.8844011824358424
2018_1104_1211,0.22780273665639858
2018_1104_1222,0.39643412578638393
2018_1104_1233,0.8447618876064046
2018_1104_1242,0.17096732962781866
2018_1104_1243,0.43953724969444674
2018_1104_1246,0.26690028103011476
2018_1104_1252,0.9708491739743974
2018_1104_1254,0.9830799186485573
2018_1104_1260,0.6613755703501908
2018_1104_1267,0.8195303221193432
2018_1104_1274,0.4438026526818415
2018_1104_1276,0.2707636210605181
2018_1104_1277,0.20119763419653022
2018_1104_1281,0.46380412012743016
2018_1104_1285,0.8366246972953333
2018_1104_1293,0.8434045040017288
2018_1104_1300,0.9876886470453823
2018_1104_1301,0.47906358600923876
2018_1104_1305,0.35210032145987435
2018_1104_1308,0.6319002902761002
2018_1104_1314,0.18437636754541278
2018_1104_1326,0.297481334956382
2018_1104_1328,0.5934909700398886
2018_1104_1335,0.8566752769477456
2018_1104_1344,0.5273669924177531
2018_1104_1345,0.15536541666659326
2018_1104_1347,0.9690308196399854
2018_1104_1348,0.4752796794601885
2018_1104_1355,0.7050394400559559
2018_1104_1361,0.6725873946086413
2018_1104_1371,0.3890277804405303
2018_1104_1372,0.912922945627743
2018_1104_1382,0.7243043502744894
2018_1104_1393,0.5224103856662553
2018_1104_1395,0.3274420174315861
2018_1104_1397,0.20199819247479864
2018_1104_1400,0.5018850096718908
2018_1104_1401,0.3530135524610316
2018_1104_1403,0.3131577299074123
2018_1104_1411,0.9610806072240989
2018_1104_1417,0.5440411889822196
2018_1104_1420,0.9483362137486703
2018_1104_1422,0.7924016673705963
2018_1104_1437,0.09926002119192204
2018_1104_1438,0.060104059333836495
2018_1104_1439,0.46240959387503344
2018_1104_1452,0.27843764891315803
2018_1104_1455,0.31917882049384955
2018_1104_1460,0.9451293459298075
2018_1104_1462,0.15637323029401237
2018_1112_1113,0.8178024095429958
2018_1112_1116,0.5503302129889424
2018_1112_1120,0.5448887562520488
2018_1112_1137,0.9100996201211959
2018_1112_1138,0.8788148740672926
2018_1112_1139,0.6195746288474205
2018_1112_1153,0.48722137537437227
2018_1112_1155,0.5728916009872312
2018_1112_1158,0.9436792547105723
2018_1112_1166,0.7435941450390136
2018_1112_1168,0.9709891865326704
2018_1112_1172,0.8583876186448778
2018_1112_1181,0.41926869780154774
2018_1112_1196,0.6197657958332389
2018_1112_1199,0.6986846286012948
2018_1112_1209,0.9281654268045814
2018_1112_1211,0.41321917922846696
2018_1112_1222,0.6290240336799899
2018_1112_1233,0.9445208173921473
2018_1112_1242,0.34781811912291005
2018_1112_1243,0.6459270042265343
2018_1112_1246,0.5168764818575372
2018_1112_1252,0.9600572383731161
2018_1112_1254,0.9929413717013185
2018_1112_1260,0.748651449363364
2018_1112_1267,0.9096735856088408
2018_1112_1274,0.7277711681059635
2018_1112_1276,0.3965272586345145
2018_1112_1277,0.38357009607787046
2018_1112_1281,0.664686428494525
2018_1112_1285,0.8476278155251457
2018_1112_1293,0.934221578681144
2018_1112_1300,0.9943467932866977
2018_1112_1301,0.7240496444099295
2018_1112_1305,0.5942152877316896
2018_1112_1308,0.8045881424682743
2018_1112_1314,0.4207788970684931
2018_1112_1326,0.5818315316241474
